Arrival_TS;Start_TS;Finish_TS;Model_Batch;Requested_SLO;Actual_TAT;SLO_Diff;SLO_Met;Exit_Code
1767452331190;1767452331198;1767452331299;hinet_1;12000;109;11891;1;127
1767453135705;1767453135803;1767453148830;hinet_1;12000;13125;-1125;0;-2
1767456135379;1767456135435;1767456148464;hinet_1;12000;13085;-1085;0;-2
1767457835471;1767457835553;1767457848585;hinet_1;12000;13114;-1114;0;-2
1767458395805;1767458395831;1767458408856;hinet_1;12000;13051;-1051;0;-2
1767458423259;1767458423285;1767458424687;hinet_1;12000;1428;10572;1;0
1767458428778;1767458428792;1767458431195;hinet_1;12000;2417;9583;1;0
1767458449067;1767458449120;1767458457731;alexnet_1;120000;8664;111336;1;0
1767458470186;1767458470243;1767458472046;simc2_2;120000;1860;118140;1;0
1767458494889;1767458494980;1767458496282;hinet_1;12000;1393;10607;1;0
1767458494889;1767458496283;1767458497785;hinet_1;12000;2896;9104;1;0
1767458609320;1767458609410;1767458611114;hinet_1;12000;1794;10206;1;0
1767458609320;1767458611116;1767458612418;hinet_1;12000;3098;8902;1;0
1767458719906;1767458719950;1767458721353;hinet_1;12000;1447;10553;1;0
1767458719906;1767458721353;1767458723156;hinet_1;12000;3250;8750;1;0
